id,description,site_id,sort_order,is_active
BBBBB,Camsizer (Wet Plant & 100),10,10,1
BBBBB,Canty,10,6,0
BBBBB,Master Set (40/70),10,998,1
BBBBB,Sieve Set A,10,14,0
BBBBB,Sieve Set B,10,18,1
BBBBB,Sieve Set C,10,22,1
BBBBB,Sieve Set D,10,26,1
BBBBB,Sieve Set E,10,30,1
BBBBB,Sieve Set F,10,34,1
BBBBB,Sieve Set G,10,38,1
BBBBB,Sieve Set H,10,42,1
BBBBB,Sieve Set I,10,46,1
BBBBB,Sieve Set J,10,50,1
BBBBB,Sieve Set K (40/70),10,54,0
BBBBB,Sieve Set L,10,58,1
BBBBB,Sieve Set M,10,62,1
BBBBB,Sieve Set N,10,66,1
BBBBB,Sieve Set O,10,70,1
BBBBB,Sieve Set P,10,74,1
BBBBB,Sieve Set Q,10,78,1
BBBBB,Master Set (100),10,999,1
BBBBB,Camsizer (Dry Plant 40/70),10,11,1
BBBBB,Sieve Set A,30,10,1
BBBBB,Sieve Set B,30,14,1
BBBBB,Sieve Set C,30,18,1
BBBBB,Sieve Set R,30,22,1
BBBBB,Sieve Set S,30,26,1
BBBBB,Sieve Set T,30,30,1
BBBBB,Sieve Set ASTM (20/40),30,34,1
BBBBB,Sieve Set R (40/70),10,82,1
BBBBB,Sieve Set S (40/70),10,86,1
BBBBB,Sieve Set T (40/70),10,90,1
BBBBB,Sieve Set K,10,53,1
BBBBB,Sieve Set Z (30/50) old,10,95,0
BBBBB,Fine Sample Sieve 1 old,10,102,0
BBBBB,Fine Sample Sieve 2 old,10,106,0
BBBBB,Fine Sample Sieve 3  ,10,110,1
BBBBB,Fine Sample Sieve 4,10,114,1
BBBBB,Fine Sample Sieve 5,10,118,1
BBBBB,Fine Sample Sieve 6,10,122,1
BBBBB,Fine Sample Sieve 7,10,126,1
BBBBB,Camsizer (Fine),10,12,1
BBBBB,Master (Fine),10,1000,1
BBBBB,Test 170,10,128,1
BBBBB,Sieve Set U (40/70),10,91,1
BBBBB,Sieve Set A (C4),10,14,1
BBBBB,Camsizer (Oversize),10,13,1
BBBBB,Sieve Set Z (30/50),10,95,1
BBBBB,Fine Sample Sieve 1,10,103,1
BBBBB,Fine Sample Sieve 2,10,107,1
